ID;EDU_NAME;global_id;YEAR;AdmArea;District;PASSES_OVER_220;PASSER_UNDER_160
8406;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1015»;797969061;2016-2017;Западный административный округ;район Ново-Переделкино;13;40
8407;Общеобразовательная автономная некоммерческая организация средняя общеобразовательная школа «Образование плюс...I»;797969160;2016-2017;Западный административный округ;район Очаково-Матвеевское;1;1
8408;Частное учреждение общеобразовательная организация школа «Ступени»;797969280;2016-2017;Западный административный округ;район Очаково-Матвеевское;5;5
8409;Государственное автономное общеобразовательное учреждение города Москвы «Гимназия № 1306»;797969366;2016-2017;Западный административный округ;район Раменки;13;20
8410;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1498 «Московская Международная Школа»;797969502;2016-2017;Западный административный округ;район Раменки;25;50
8411;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 37»;797969632;2016-2017;Западный административный округ;район Раменки;15;40
8412;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа «Тропарево»;797969723;2016-2017;Западный административный округ;район Тропарёво-Никулино;29;65
8413;Государственное казенное общеобразовательное учреждение города Москвы «Кадетская школа-интернат «Навигацкая школа»;797969846;2016-2017;Западный административный округ;район Фили-Давыдково;0;3
8414;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1150 имени дважды Героя Советского Союза К.К. Рокоссовского»;797969991;2016-2017;Зеленоградский административный округ;район Крюково;12;37
8415;Некоммерческое партнерство «Международная школа «Глобус»;797970107;2016-2017;Зеленоградский административный округ;район Матушкино;0;4
8416;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1557»;797970108;2016-2017;Зеленоградский административный округ;район Савёлки;85;153
8417;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 853»;797970109;2016-2017;Зеленоградский административный округ;район Старое Крюково;54;83
8418;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1528» имени Героя Советского Союза И.В. Панфилова;797970110;2016-2017;Зеленоградский административный округ;район Старое Крюково;43;93
8419;Государственное бюджетное общеобразовательное учреждение города Москвы «Инженерно-техническая школа имени дважды Героя Советского Союза П.Р. Поповича»;797970111;2016-2017;Северный административный округ;район Аэропорт;19;51
8420;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 152»;797970112;2016-2017;Северный административный округ;район Аэропорт;45;106
8421;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1794»;797970113;2016-2017;Северный административный округ;район Восточное Дегунино;19;77
8422;Частное учреждение общеобразовательная организация средняя школа «Знайка»;797970170;2016-2017;Северный административный округ;район Коптево;7;14
8423;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 167 имени Маршала Л.А. Говорова»;797970288;2016-2017;Северный административный округ;район Левобережный;30;68
8424;Частное учреждение общеобразовательная организация «Петровская школа»;797970405;2016-2017;Северный административный округ;Савёловский район;4;9
8425;Частное учреждение общеобразовательная организация «Международная школа углубленного изучения иностранных языков»;797970491;2016-2017;Северный административный округ;Хорошёвский район;4;5
8426;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа «Бескудниково»;797970607;2016-2017;Северный административный округ;Бескудниковский район;13;51
8427;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1678 «Восточное Дегунино»;797970696;2016-2017;Северный административный округ;район Восточное Дегунино;5;24
8428;Государственное автономное профессиональное образовательное учреждение города Москвы «Колледж предпринимательства № 11»;797970789;2016-2017;Северный административный округ;Головинский район;1;10
8429;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1315»;797970898;2016-2017;Северный административный округ;Головинский район;36;63
8430;Негосударственная общеобразовательная организация частное учреждение «Школа «Муми-Тролль»;797971031;2016-2017;Северный административный округ;район Сокол;5;9
8431;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1454 «Тимирязевская»;797971119;2016-2017;Северный административный округ;Тимирязевский район;28;87
8432;Государственное бюджетное общеобразовательное учреждение города Москвы школа № 648 имени Героя Российской Федерации А.Г. Карлова»;797971192;2016-2017;Северный административный округ;район Ховрино;11;34
8433;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1288 имени Героя Советского Союза Н.В. Троян»;797971318;2016-2017;Северный административный округ;Хорошёвский район;56;100
8434;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа-интернат № 1 для обучения и реабилитации слепых» Департамента труда и социальной защиты населения города Москвы;797971462;2016-2017;Северо-Восточный административный округ;Алексеевский район;6;9
8435;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1095»;797971572;2016-2017;Северо-Восточный административный округ;Бабушкинский район;24;49
8436;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1236 имени С.В. Милашенкова»;797971721;2016-2017;Северо-Восточный административный округ;Бутырский район;46;127
8437;Общеобразовательная автономная некоммерческая организация центр образования «Знак»;797971837;2016-2017;Северо-Восточный административный округ;район Лианозово;3;9
8438;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1381»;797971948;2016-2017;Северо-Восточный административный округ;Лосиноостровский район;17;64
8439;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа Марьина Роща имени В.Ф. Орлова»;797972083;2016-2017;Северо-Восточный административный округ;район Марьина Роща;48;110
8440;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1554»;797972171;2016-2017;Северо-Восточный административный округ;район Отрадное;86;125
8441;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1499 имени Героя Советского Союза Ивана Архиповича Докукина»;797972275;2016-2017;Северо-Восточный административный округ;район Ростокино;19;61
8442;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2044»;797972363;2016-2017;Северо-Восточный административный округ;район Северный;14;23
8443;Государственное бюджетное общеобразовательное учреждение города Москвы «Многопрофильная школа № 1537 «Информационные технологии»;797972452;2016-2017;Северо-Восточный административный округ;Ярославский район;60;94
8444;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 760 имени А.П. Маресьева»;797972573;2016-2017;Северо-Восточный административный округ;Ярославский район;7;27
8445;Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж современных технологий имени Героя Советского Союза М.Ф. Панова»;797972664;2016-2017;Северо-Восточный административный округ;Ярославский район;0;1
8446;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1985»;797972769;2016-2017;Северо-Западный административный округ;район Куркино;11;49
8447;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1358»;797972858;2016-2017;Северо-Западный административный округ;район Митино;48;83
8448;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1519»;797972979;2016-2017;Северо-Западный административный округ;район Строгино;40;88
8449;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1056»;797973129;2016-2017;Северо-Западный административный округ;район Южное Тушино;11;49
8450;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1551»;797973233;2016-2017;Северо-Западный административный округ;район Южное Тушино;26;64
8451;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2075»;797973308;2016-2017;Троицкий административный округ;поселение Краснопахорское;4;21
8452;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 345 имени А.С. Пушкина»;797973425;2016-2017;Центральный административный округ;Басманный район;16;44
8453;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 354 имени Д.М. Карбышева»;797973538;2016-2017;Центральный административный округ;Басманный район;42;83
8454;Федеральное государственное автономное образовательное учреждение высшего «Национальный исследовательский университет «Высшая школа экономики». лицей «Национального исследовательского университета «Высшая школа экономики»;797973694;2016-2017;Центральный административный округ;Басманный район;560;653
8455;Некоммерческая организация частное учреждение средняя общеобразовательная школа «Ретро»;797973822;2016-2017;Восточный административный округ;район Богородское;2;14
8456;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1028»;797973913;2016-2017;Восточный административный округ;район Вешняки;17;45
8457;Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московское среднее специальное училище олимпийского резерва № 1 (техникум)» Департамента физической культуры и спорта города Москвы;797974018;2016-2017;Восточный административный округ;район Восточное Измайлово;1;4
8458;Государственное автономное профессиональное образовательное учреждение города Москвы «Технологический колледж № 24»;797974080;2016-2017;Восточный административный округ;район Измайлово;0;2
8459;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1290»;797974081;2016-2017;Восточный административный округ;район Измайлово;34;76
8460;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2094»;797974082;2016-2017;Восточный административный округ;район Измайлово;22;54
8461;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением математики, информатики, физики № 444»;797974083;2016-2017;Восточный административный округ;район Измайлово;49;67
8462;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1022»;797974084;2016-2017;Восточный административный округ;район Косино-Ухтомский;2;10
8463;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1200»;797974085;2016-2017;Восточный административный округ;район Новокосино;33;50
8464;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1748 «Вертикаль»;797974125;2016-2017;Восточный административный округ;район Северное Измайлово;27;66
8465;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа «Технологии обучения»;797974247;2016-2017;Западный административный округ;район Дорогомилово;0;14
8466;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 63»;797974370;2016-2017;Западный административный округ;район Крылатское;13;39
8467;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 64»;797974483;2016-2017;Западный административный округ;район Кунцево;12;29
8468;Государственное казенное общеобразовательное учреждение города Москвы «Кадетская школа-интернат № 11 «Московский дипломатический кадетский корпус»;797974590;2016-2017;Западный административный округ;район Кунцево;4;22
8469;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1195»;797974735;2016-2017;Западный административный округ;Можайский район;23;54
8470;Общеобразовательное частное учреждение Международная гимназия инновационного центра «Сколково»;797974885;2016-2017;Западный административный округ;Можайский район;1;4
8471;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1376»;797974959;2016-2017;Западный административный округ;район Ново-Переделкино;13;39
8472;Государственное бюджетное учреждение города Москвы «Комплексный реабилитационно - образовательный центр» Департамента труда и социальной защиты населения города Москвы;797975094;2016-2017;Западный административный округ;район Ново-Переделкино;0;0
8473;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 814»;797975179;2016-2017;Западный административный округ;район Очаково-Матвеевское;25;88
8474;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 41 имени Григория Алексеевича Тарана»;797975264;2016-2017;Западный административный округ;район Внуково;20;70
8475;Негосударственное образовательное частное учреждение средняя общеобразовательная школа «ЮДЖИН-ЦЕНТР»;797975340;2016-2017;Западный административный округ;район Проспект Вернадского;10;12
8476;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 843»;797975469;2016-2017;Западный административный округ;район Тропарёво-Никулино;13;48
8477;Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»;797975600;2016-2017;Западный административный округ;район Фили-Давыдково;165;170
8478;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 842»;797975695;2016-2017;Зеленоградский административный округ;район Матушкино;4;27
8479;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 618»;797975819;2016-2017;Зеленоградский административный округ;район Матушкино;30;64
8480;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1692»;797975918;2016-2017;Зеленоградский административный округ;район Силино;10;22
8481;Государственное казенное общеобразовательное учреждение города Москвы «Специальная (коррекционная) общеобразовательная школа-интернат № 2»;797976021;2016-2017;Северный административный округ;район Аэропорт;0;2
8482;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1383»;797976160;2016-2017;Северный административный округ;Бескудниковский район;15;45
8483;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 201 ордена Трудового Красного Знамени имени Героев Советского Союза Зои и Александра Космодемьянских»;797976242;2016-2017;Северный административный округ;Войковский район;15;38
8484;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1631»;797976321;2016-2017;Северный административный округ;Дмитровский район;10;27
8485;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1296»;797976425;2016-2017;Северный административный округ;район Восточное Дегунино;30;64
8486;Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж автомобильного транспорта № 9»;797976516;2016-2017;Северный административный округ;район Восточное Дегунино;0;0
8487;общеобразовательное учреждение средняя общеобразовательная школа «Первая Школа»;797976589;2016-2017;Северный административный округ;район Западное Дегунино;4;7
8488;Государственное бюджетное учреждение средняя общеобразовательная школа с дополнительным образованием города Москвы «Класс-центр»;797976707;2016-2017;Северный административный округ;район Коптево;9;17
8489;Государственное бюджетное образовательное учреждение города Москвы «Специальное учебно-воспитательное общеобразовательное учреждение для обучающихся с девиантным (общественно опасным) поведением № 1»;797976845;2016-2017;Северный административный округ;район Коптево;0;1
8490;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1164»;797976948;2016-2017;Северный административный округ;Савёловский район;8;18
8491;Общеобразовательная Автономная некоммерческая организация «Образовательный центр «Лучик»;797977059;2016-2017;Северный административный округ;Тимирязевский район;3;7
8492;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 597 «Новое поколение»;797977174;2016-2017;Северный административный округ;район Ховрино;18;32
8493;федеральное государственное бюджетное образовательное учреждение высшего образования «Российский экономический университет имени Г.В. Плеханова»;797977288;2016-2017;Северный административный округ;район Ховрино;31;52
8494;Государственное бюджетное общеобразовательное учреждение города Москвы «Многопрофильная школа № 1449 имени Героя Советского Союза М.В. Водопьянова»;797977409;2016-2017;Северо-Восточный административный округ;район Лианозово;19;43
8495;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1415»;797977499;2016-2017;Северо-Восточный административный округ;Останкинский район;19;30
8496;Государственное автономное образовательное учреждение высшего образования города Москвы «Московский городской педагогический университет»;797977588;2016-2017;Северо-Восточный административный округ;район Ростокино;1;3
8497;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1506»;797977658;2016-2017;Северо-Восточный административный округ;район Северное Медведково;47;101
8498;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 956»;797977789;2016-2017;Северо-Восточный административный округ;район Южное Медведково;21;39
8499;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2005»;797977919;2016-2017;Северо-Западный административный округ;район Куркино;32;74
8500;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1544»;797978007;2016-2017;Северо-Западный административный округ;район Митино;29;57
8501;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1285»;797978185;2016-2017;Северо-Западный административный округ;район Покровское-Стрешнево;38;86
8502;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 69 имени Б.Ш. Окуджавы»;797978328;2016-2017;Северо-Западный административный округ;район Строгино;8;20
8503;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1560 «Лидер»;797978441;2016-2017;Северо-Западный административный округ;район Хорошёво-Мнёвники;42;94
8504;Государственное бюджетное общеобразовательное учреждение города Москвы «Курчатовская школа»;797978557;2016-2017;Северо-Западный административный округ;район Щукино;70;168
8505;Государственное бюджетное общеобразовательное учреждение города Москвы «Немецкая школа № 1212»;797978669;2016-2017;Северо-Западный административный округ;район Щукино;12;33
8506;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1005 «Алые паруса»;797978820;2016-2017;Северо-Западный административный округ;район Щукино;6;12
8507;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1210»;797978897;2016-2017;Северо-Западный административный округ;район Щукино;32;48
8508;Негосударственное образовательное учреждение средняя общеобразовательная школа «Этикета и всестороннего развития»;797979026;2016-2017;Северо-Западный административный округ;район Южное Тушино;0;1
8509;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1788»;797979165;2016-2017;Новомосковский административный округ;поселение Внуковское;13;27
8510;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2073»;797979266;2016-2017;Троицкий административный округ;поселение Вороновское;7;29
8511;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1392 имени Д.В. Рябинкина»;797979343;2016-2017;Новомосковский административный округ;поселение Десеновское;16;58
8512;Муниципальное автономное общеобразовательное учреждение «Лицей города Троицка»;797979470;2016-2017;Троицкий административный округ;поселение Троицк;45;91
8513;Государственное бюджетное общеобразовательное учреждение города Москвы «школа № 1247 имени Юргиса Балтрушайтиса»;797979507;2016-2017;Центральный административный округ;Басманный район;14;30
8514;гимназия федерального государственного бюджетного образовательного учреждения высшего образования «Российский университет транспорта (МИИТ)»;797979547;2016-2017;Северо-Восточный административный округ;Алексеевский район;17;43
8515;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1503»;797979610;2016-2017;Северо-Восточный административный округ;Алексеевский район;34;62
8516;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 293 имени А.Т. Твардовского»;797979732;2016-2017;Северо-Восточный административный округ;Алексеевский район;33;75
8517;Федеральное государственное казенное образовательное учреждение «Московское суворовское военное училище Министерства обороны Российской федерации»;797979804;2016-2017;Северо-Восточный административный округ;Бабушкинский район;3;41
8518;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1494»;797979891;2016-2017;Северо-Восточный административный округ;район Марфино;14;50
8519;Государственное автономное общеобразовательное учреждение города Москвы «Школа № 1518»;797979994;2016-2017;Северо-Восточный административный округ;Останкинский район;72;82
8520;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1568 имени Пабло Неруды»;797980131;2016-2017;Северо-Восточный административный округ;район Южное Медведково;98;127
8521;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1190»;797980209;2016-2017;Северо-Западный административный округ;район Митино;7;20
8522;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1747»;797980311;2016-2017;Северо-Западный административный округ;район Митино;24;63
8523;Негосударственное образовательное частное учреждение «Православная гимназия в Троице-Лыкове г. Москвы»;797980433;2016-2017;Северо-Западный административный округ;район Строгино;0;2
8524;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1391»;797980560;2016-2017;Троицкий административный округ;поселение Киевский;3;31
8525;Некоммерческое негосударственное образовательное учреждение «Троицкая Православная школа»;797980641;2016-2017;Троицкий административный округ;поселение Троицк;3;9
8526;Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж связи № 54» имени П.М. Вострухина;797980700;2016-2017;Центральный административный округ;Басманный район;0;0
8527;Государственное бюджетное общеобразовательное учреждение города Москвы «школа № 1950»;797980784;2016-2017;Центральный административный округ;Пресненский район;59;93
8528;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2123 имени Мигеля Эрнандеса»;797980865;2016-2017;Центральный административный округ;Пресненский район;46;89
8529;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением предметов художественно-эстетического цикла средствами театрального искусства № 123»;797980957;2016-2017;Центральный административный округ;Пресненский район;4;11
8530;Частное образовательное учреждение «Елизаветинская гимназия»;797981036;2016-2017;Центральный административный округ;район Якиманка;9;15
8531;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 825»;797981120;2016-2017;Юго-Восточный административный округ;район Кузьминки;21;49
8532;Федеральное государственное казенное общеобразовательное учреждение «Московское президентское кадетское училище имени М.А. Шолохова внутренних войск Министерство внутренних дел Российской Федерации»;797981223;2016-2017;Юго-Восточный административный округ;район Кузьминки;2;25
8533;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1877 «Люблино»;797981317;2016-2017;Юго-Восточный административный округ;район Люблино;9;25
8534;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2092 имени И.Н.Кожедуба»;797981374;2016-2017;Юго-Восточный административный округ;район Люблино;7;35
8535;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 491 «Марьино»;797981449;2016-2017;Юго-Восточный административный округ;район Марьино;13;50
8536;Общеобразовательное частное учреждение «Школа «Новое ообразование»;797981523;2016-2017;Юго-Восточный административный округ;Нижегородский район;4;7
8537;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1421»;797981595;2016-2017;Юго-Восточный административный округ;Рязанский район;21;33
8538;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2090 имени Героя Советского Союза Л.Х. Паперника»;797981679;2016-2017;Юго-Восточный административный округ;Рязанский район;21;53
8539;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 329 имени Героя Советского Союза А.С. Хлобыстова»;797981755;2016-2017;Юго-Восточный административный округ;Рязанский район;8;34
8540;Частное учреждение общеобразовательная организация школа «Личность»;797981842;2016-2017;Юго-Восточный административный округ;Рязанский район;2;10
8541;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1533 «ЛИТ»;797981924;2016-2017;Юго-Западный административный округ;Гагаринский район;110;127
8542;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 536»;797981998;2016-2017;Юго-Западный административный округ;район Зюзино;12;33
